stn;time;rre150z0
VEV;202105170000;0.0
VEV;202105170010;0.0
VEV;202105170020;0.0
VEV;202105170030;0.0
VEV;202105170040;0.0
VEV;202105170050;0.0
VEV;202105170100;0.0
VEV;202105170110;0.0
VEV;202105170120;0.0
VEV;202105170130;0.0
VEV;202105170140;0.0
VEV;202105170150;0.0
VEV;202105170200;0.0
VEV;202105170210;0.0
VEV;202105170220;0.0
VEV;202105170230;0.0
VEV;202105170240;0.0
VEV;202105170250;0.0
VEV;202105170300;0.0
VEV;202105170310;0.0
VEV;202105170320;0.0
VEV;202105170330;0.0
VEV;202105170340;0.0
VEV;202105170350;0.0
VEV;202105170400;0.0
VEV;202105170410;0.0
VEV;202105170420;0.0
VEV;202105170430;0.0
VEV;202105170440;0.0
VEV;202105170450;0.0
VEV;202105170500;0.0
VEV;202105170510;0.0
VEV;202105170520;0.0
VEV;202105170530;0.0
VEV;202105170540;0.1
VEV;202105170550;0.2
VEV;202105170600;0.3
VEV;202105170610;0.1
VEV;202105170620;0.0
VEV;202105170630;0.0
VEV;202105170640;0.0
VEV;202105170650;0.0
VEV;202105170700;0.0
VEV;202105170710;0.1
VEV;202105170720;0.0
VEV;202105170730;0.3
VEV;202105170740;0.3
VEV;202105170750;0.1
VEV;202105170800;0.0
VEV;202105170810;0.0
VEV;202105170820;0.0
VEV;202105170830;0.0
VEV;202105170840;0.0
VEV;202105170850;0.0
VEV;202105170900;0.3
VEV;202105170910;0.4
VEV;202105170920;0.0
VEV;202105170930;0.0
VEV;202105170940;0.0
VEV;202105170950;0.0
VEV;202105171000;0.0
VEV;202105171010;0.0
VEV;202105171020;0.4
VEV;202105171030;0.3
VEV;202105171040;0.1
VEV;202105171050;0.0
VEV;202105171100;0.0
VEV;202105171110;0.0
VEV;202105171120;0.0
VEV;202105171130;0.0
VEV;202105171140;0.0
VEV;202105171150;0.0
VEV;202105171200;0.0
VEV;202105171210;0.0
VEV;202105171220;0.0
VEV;202105171230;0.0
VEV;202105171240;0.0
VEV;202105171250;0.0
VEV;202105171300;0.0
VEV;202105171310;2.0
VEV;202105171320;1.3
VEV;202105171330;0.0
VEV;202105171340;0.0
VEV;202105171350;0.0
VEV;202105171400;0.0
VEV;202105171410;0.0
VEV;202105171420;0.0
VEV;202105171430;0.0
VEV;202105171440;0.0
VEV;202105171450;0.0
VEV;202105171500;0.0
VEV;202105171510;0.0
VEV;202105171520;0.0
VEV;202105171530;0.0
VEV;202105171540;0.0
VEV;202105171550;0.2
VEV;202105171600;0.1
VEV;202105171610;0.0
VEV;202105171620;0.0
